Episode,Average Reward,Average Loss,Total Lines sent
424,-3.2569620253164566,4.421706924248852,4
425,-3.4683962264150963,8.149517669891802,7
426,-2.944545454545455,19.831618325871585,14
427,-2.8264705882352943,9.290269990780336,15
428,-2.335034013605443,13.06435568540753,15
429,-2.8335106382978714,24.346475085564343,9
430,-4.949270072992702,7.346396372172162,11
431,-2.5570588235294127,15.838134475522212,31
432,-3.0071428571428567,7.804028348145843,3
433,-3.3452941176470583,18.276694475822424,14
434,-1.7857142857142865,15.140216065980072,18
435,-3.88112244897959,9.159980738103197,4
436,-4.650520833333334,6.452723251363598,7
437,-3.5404761904761903,9.342426218344675,11
438,-3.3233812949640296,6.392955441665651,12
439,-3.3400000000000003,8.812811906341548,12
440,-3.132710280373833,13.456304867477723,7
441,-3.184659090909091,13.273579736940023,7
442,-3.3388888888888886,13.430407540251812,10
443,-4.2463963963963955,9.204766099054183,8
444,-4.5292134831460675,103.07379312921064,5
445,-1.953012048192771,26.975087351698697,18
446,-2.1808383233532935,24.32599090373912,25
447,-4.391304347826087,15.042485678135524,3
448,-3.677894736842105,15.340164495053653,7
449,-2.1747023809523816,9.311653255826968,26
450,-6.578947368421052,15.54518552196392,2
451,-3.9476744186046524,17.373151122235022,6
452,-3.4371794871794874,4.565636959400786,4
453,-4.777868852459018,13.646673290404399,20
454,-5.07828947368421,5.762507077144906,5
455,-2.1290209790209786,4.798327275395957,8
456,-3.6899328859060394,8.417927319515808,15
457,-4.13679245283019,11.094672915205043,10
458,-1.9360606060606063,6.891962556242541,19
459,-2.4134259259259268,7.5642362185581415,6
460,-4.138194444444444,7.332875155663512,6
461,-2.825572519083969,11.808828115489694,13
462,-3.126923076923077,7.715893949386484,3
463,-4.026068376068376,12.800634896934046,13
464,-2.890291262135923,10.711417579314885,9
465,-3.33938053097345,5.814545268104159,9
466,-2.7356435643564345,15.726217291552008,8
467,-2.341145833333333,16.21434907080402,9
468,-2.9536697247706427,13.22735607046463,9
469,-1.4511976047904187,3.183702836395764,16
470,-3.329797979797977,8.261792590700836,8
471,-3.582142857142854,7.551530180561323,7
472,-4.2417177914110455,10.768744829311315,15
473,-4.037074829931974,17.10690921064026,11
474,-3.8359756097560993,9.64900289139946,5
475,-1.652071005917159,13.527119140447939,27
476,-2.6715909090909093,6.65082345765338,9
477,-2.924534161490684,11.267150744084292,19
478,-4.009499999999999,9.112549761417904,8
479,-3.19304347826087,11.453580436734908,13
480,-2.6419161676646707,6.929451400264234,19
481,-3.031914893617021,6.662227197084576,5
482,-3.149999999999999,5.773518944484067,10
483,-4.076666666666664,8.482420414197906,7
484,-2.018562874251498,8.426653491409656,19
485,-2.504961832061069,5.533340000870166,10
486,-3.5009090909090923,7.799094073326242,8
487,-3.6973076923076933,14.77761246995293,20
488,-2.207553956834532,8.59300388198477,17
489,-1.0536144578313253,4.448080568813862,23
490,-2.7524390243902443,3.9233330875172325,6
491,-2.4725663716814146,5.332221901255703,14
492,-2.709444444444444,9.655614146474464,7
493,-3.186363636363637,6.94442390661094,4
494,-2.2383647798742135,12.071996265304064,21
495,-3.253571428571427,7.586496888903931,4
496,-3.122540983606558,10.520511747573572,11
497,-4.897674418604651,10.270787927669273,5
498,-2.8143410852713195,8.23543669683263,17
499,-2.9137931034482762,13.940823167575866,7
500,-3.0207547169811324,7.289991208602551,18
501,-3.069565217391303,11.259767594961854,9
502,-5.122807017543859,10.670080078336852,9
503,-2.415934065934065,4.319152608301031,8
504,-2.543981481481482,4.048533638185796,11
505,-4.105357142857143,6.802829168922472,2
506,-3.343434343434342,6.118030016983135,7
507,-3.4554794520547936,10.00247364601014,16
508,-3.3495535714285727,4.92665037871276,9
509,-3.545977011494254,6.395282510692125,8
510,-3.5669999999999997,7.414082472715527,0
511,-2.288023952095809,6.327258440965391,19
512,-3.725786163522013,6.17293489995045,17
513,-3.6592307692307697,3.244152386791001,4
514,-3.720370370370371,6.182962252501898,4
515,-1.2894117647058827,6.460305654361539,26
516,-2.367987804878049,5.85529286558156,17
517,-3.052755905511812,5.774214261134914,11
518,-3.520542635658916,9.826131698466087,15
519,-1.7511695906432752,9.090738561610305,18
520,-4.212631578947369,18.353356860477977,11
521,-2.629012345679012,14.17432929416486,5
522,-1.6099206349206354,5.683933505812005,11
523,-3.5562499999999995,9.878485584958662,3
524,-3.1545454545454543,6.133485688319937,5
525,-2.2040697674418612,6.301502487195035,19
526,-3.0843023255813966,6.865142506043708,6
527,-2.735123966942148,5.5895567415209975,10
528,-3.2448795180722882,10.914881549022407,27
529,-4.394642857142857,9.176742733502449,3
530,-2.2445859872611473,6.4425657767451,14
531,-2.8464788732394366,9.06603092705741,4
532,-4.113225806451612,13.943535178921833,20
533,-3.6709401709401708,7.810726779028619,10
534,-2.898170731707316,7.237954069355221,21
535,-2.847682119205298,7.781050545015428,16
536,-3.0377862595419836,8.262030369719447,17
537,-2.7831818181818186,4.120503451500554,8
538,-3.6807377049180334,6.397678335515861,12
539,-2.713533834586465,9.267214936373188,13
540,-3.7063063063063066,6.8473079081893236,12
541,-2.782456140350876,6.4220580986063736,13
542,-2.516666666666667,1.9339967551671287,6
543,-2.2451807228915657,5.048382435588683,8
544,-4.354705882352941,15.992125536169967,7
545,-3.873595505617979,9.338985533222454,6
546,-2.7030769230769245,6.007164011037765,12
547,-3.9877272727272715,8.05442562050567,13
548,-3.2724137931034485,3.7246699393084595,1
549,-3.140384615384615,3.4988956497720958,5
550,-4.02054794520548,9.45317716488283,5
551,-2.5223484848484845,7.913253669618412,13
552,-4.237012987012986,5.807577887102478,3
553,-4.388732394366197,19.870113351211792,15
554,-3.8653225806451603,5.666083642889956,3
555,-4.362068965517242,4.908417241600671,6
556,-2.6746621621621607,10.639341054180427,14
557,-3.026315789473684,13.404071935247263,5
558,-2.278865979381443,3.2103469293345666,9
559,-2.7864161849710993,12.200232219923778,20
560,-4.031097560975608,4.779554034935356,3
561,-4.351136363636362,107.19365277653493,7
562,-2.9727272727272727,18.672159874089274,4
563,-1.748630136986301,7.522924923607506,15
564,-2.4234513274336287,10.55192194306096,15
565,-2.5123853211009166,12.790415655232009,10
566,-4.283125,11.435699780011783,5
567,-2.8713235294117645,7.686359516707478,12
568,-3.1044715447154476,9.948147706794519,13
569,-3.012643678160919,3.9517364584266788,5
570,-3.9595454545454545,6.719212086525196,9
571,-4.550000000000001,5.51855688436218,4
572,-2.8700617283950605,10.812951638568824,17
573,-3.024712643678162,8.54519507829294,7
574,-2.7149999999999994,6.182121210950694,2
575,-2.900990099009901,6.99654247662347,3
576,-3.663059701492536,6.300971150904096,8
577,-3.7732484076433135,14.568971755044611,15
578,-2.9995726495726496,8.112453579529772,9
579,-2.4218181818181828,6.349855845083596,17
580,-6.850000000000001,6.885226663983693,1
581,-4.417010309278351,15.194080658192199,12
582,-3.2249999999999996,12.309982809440477,3
583,-2.557142857142857,3.6623821400284733,5
584,-4.4609022556390965,9.897073720535719,13
585,-3.7437500000000004,18.27103728321122,2
586,-2.5386904761904763,4.538094946582403,5
587,-4.36551724137931,9.016010019097253,2
588,-3.227083333333332,4.6839039860901215,3
589,-3.8808080808080807,10.080990346846221,10
590,-3.6252941176470577,8.271153674836215,7
591,-2.2964912280701753,9.85042948308993,10
592,-4.102777777777777,6.186425929242331,5
593,-4.054166666666666,82.95968079903881,12
594,-3.794186046511627,31.764810029631157,25
595,-2.6924242424242424,3.803583398771783,2
596,-2.3391304347826085,7.844726244612273,13
597,-3.8813953488372084,17.97962467572805,11
598,-4.319565217391304,11.92616576194452,13
599,-4.811904761904762,9.291720697231266,5
600,-2.882222222222222,7.200828886803679,11
601,-5.191208791208791,9.235663428552101,5
602,-2.5007575757575764,8.518424873381402,11
603,-5.336419753086419,115.73995875103422,4
604,-1.7224852071005916,10.582275079999667,18
605,-2.841666666666667,13.172731718258243,10
606,-2.8458715596330277,5.572593429929522,8
607,-3.3926086956521733,6.3075885022383025,11
608,-5.9607142857142845,137.73194809018167,2
609,-4.950884955752213,103.59185974235828,9
610,-3.3320000000000007,37.23118680098405,7
611,-4.081896551724139,40.000040039195326,2
612,-3.2189473684210523,14.14065657377145,8
613,-2.9679054054054057,11.87818562603757,12
614,-2.134070796460177,7.3253686991387585,9
615,-2.522297297297297,8.121204568057422,17
616,-3.1132183908045974,8.048840591188885,5
